county;raw index;normalized index mean;normalized index min
Adams ;29727;0.97;1.06
Alexander ;29542;0.96;1.05
Bond ;30738;1;1.09
Boone ;33660;1.09;1.19
Brown ;28438;0.92;1.01
Bureau ;29772;0.97;1.06
Calhoun ;29876;0.97;1.06
Carroll ;29568;0.96;1.05
Cass ;29123;0.95;1.03
Champaign ;31088;1.01;1.1
Christian ;29249;0.95;1.04
Clark ;29399;0.96;1.04
Clay ;29096;0.95;1.03
Clinton ;31125;1.01;1.1
Coles ;30527;0.99;1.08
Cook ;37854;1.23;1.34
Crawford ;29156;0.95;1.03
Cumberland ;30010;0.97;1.07
DeKalb ;37777;1.23;1.34
De Witt ;30300;0.98;1.08
Douglas ;29569;0.96;1.05
DuPage ;38656;1.26;1.37
Edgar ;28827;0.94;1.02
Edwards ;29773;0.97;1.06
Effingham ;30658;1;1.09
Fayette ;29589;0.96;1.05
Ford ;29708;0.97;1.05
Franklin ;29517;0.96;1.05
Fulton ;29162;0.95;1.04
Gallatin ;29160;0.95;1.04
Greene ;28812;0.94;1.02
Grundy ;32853;1.07;1.17
Hamilton ;30340;0.99;1.08
Hancock ;28866;0.94;1.02
Hardin ;28170;0.92;1
Henderson ;29101;0.95;1.03
Henry ;30059;0.98;1.07
Iroquois ;30318;0.98;1.08
Jackson ;31488;1.02;1.12
Jasper ;29866;0.97;1.06
Jefferson ;30585;0.99;1.09
Jersey ;30582;0.99;1.09
Jo Daviess ;31026;1.01;1.1
Johnson ;31339;1.02;1.11
Kane ;37049;1.2;1.32
Kankakee ;32972;1.07;1.17
Kendall ;37028;1.2;1.31
Knox ;28616;0.93;1.02
Lake ;43343;1.41;1.54
La Salle ;29054;0.94;1.03
Lawrence ;28686;0.93;1.02
Lee ;31461;1.02;1.12
Livingston ;30807;1;1.09
Logan ;29993;0.97;1.06
McDonough ;29669;0.96;1.05
McHenry ;40877;1.33;1.45
McLean ;33545;1.09;1.19
Macon ;30293;0.98;1.08
Macoupin ;28970;0.94;1.03
Madison ;30852;1;1.1
Marion ;30920;1;1.1
Marshall ;30282;0.98;1.07
Mason ;28396;0.92;1.01
Massac ;28213;0.92;1
Menard ;31413;1.02;1.12
Mercer ;30125;0.98;1.07
Monroe ;33281;1.08;1.18
Montgomery ;29308;0.95;1.04
Morgan ;30451;0.99;1.08
Moultrie ;30333;0.99;1.08
Ogle ;31556;1.03;1.12
Peoria ;30961;1.01;1.1
Perry ;29865;0.97;1.06
Piatt ;30626;0.99;1.09
Pike ;28598;0.93;1.02
Pope ;30901;1;1.1
Pulaski ;28662;0.93;1.02
Putnam ;29587;0.96;1.05
Randolph ;29484;0.96;1.05
Richland ;29358;0.95;1.04
Rock Island ;30458;0.99;1.08
St. Clair ;33260;1.08;1.18
Saline ;28389;0.92;1.01
Sangamon ;32117;1.04;1.14
Schuyler ;29444;0.96;1.05
Scott ;29131;0.95;1.03
Shelby ;29419;0.96;1.04
Stark ;28648;0.93;1.02
Stephenson ;30564;0.99;1.08
Tazewell ;30191;0.98;1.07
Union ;30877;1;1.1
Vermilion ;29084;0.94;1.03
Wabash ;30349;0.99;1.08
Warren ;29084;0.94;1.03
Washington ;30890;1;1.1
Wayne ;29117;0.95;1.03
White ;29258;0.95;1.04
Whiteside ;30048;0.98;1.07
Will ;36552;1.19;1.3
Williamson ;30245;0.98;1.07
Winnebago ;31823;1.03;1.13
Woodford ;31263;1.02;1.11
